question,previewContents
제주 맛집 추천,혼자 여행 계획중입니다 위치는 애월 협재 제주시내가 제일 좋고 서귀포쪽은 우도 반대편부근이 좋아요 딱새우랑 흑돼지 먹고싶은데 혼자라..많이 먹는편도 아니고.. 어딜가야 가성비 좋을지.. 추천부탁드려요
다음주에 제주도 2박3일 커플 스쿠터,다음주에 제주도 2박3일 커플 스쿠터여행갈껀대요 ㅎ 1대 빌려서 둘이탈거에요 숙박이나 루트경비 알려주세요ㅠㅠ 숙박은 모텔가면 가격이얼마인가요? 2박3일이면 루트는 어떻게...? 식사나 입장료같은건 얼마정도나올까요??
중국에서 유학을 갔다와도 사람들이 인정을 안해주나요?,부모님께 설득할려고 여러가지 찾아보고 있었는데 사람들이 중국 유학을 갔다와도 딱히 인정을 안해준다고 해서요.. 저는 혼자갈거라서 특례제도에 적용되지도 않는데 한국대학을 갈꺼면 수능을 봐야하는건가요? 중국대학교에서 졸업을 해도 사람들이 인정을 안해주나요? 지금 성적이 5등급이라서 어디를 가도 애매한데 좀 더 높은 확률로 어디가 나을까요? 고3 초반에 중국가서 고1로 다시 내려가는건 무리인가요..ㅠ? 이런 질문은 유학원 가서 해야하는건가요..?
계곡,친구들이랑계곡 놀러갈려고하는데 노원구 근처에 수락산 벽운계곡 말고 딴데는 없을까용 ??
Hello friends,My name is name and you to me favor is my like is who hey hey hey hey hey hey hey hey hey hey Plz help me my dream is dentist i like apple and you?
⭐️급) 8/1(토)~8/2(일) 여수 풀빌라수영장펜션호텔,⭐️급) 8/1(토)~8/2(일) 갑자기 급하게 남자친구와 여행을 가게되엇어요 여수 풀빌라수영장펜션호텔 방이 다찻더라구요 ㅠㅠ 혹시 아직 남은 방잇을까요?ㅠㅠ 수영장이잇엇음 좋겟어요 ㅠㅠ
⭐️급) 8/1(토)~8/2(일) 포항풀빌라수영장펜션호텔,⭐️급) 8/1(토)~8/2(일) 갑자기 급하게 남자친구와 여행을 가게되엇어요 포항풀빌라수영장펜션호텔 방이 다찻더라구요 ㅠㅠ 혹시 아직 남은 방잇을까요?ㅠㅠ 수영장이잇엇음 좋겟어요
홍콩 한인민박,안녕하세요 16살 남자입니다. 제가 혼자 홍콩 여행을 나중에 갈껍니다. 저는 사람들하고 대화하는 것 이 좋기 때문에 게스트하우스 같은 곳을 좋아하는데 학생이다보니 일도 못하고 해서 그나마 저렴하고 경치 좋은 민박으로 공유 부탁드려요! 내공 50
연말에 친구네 커플이랑 넷이서 강원도,연말에 친구네 커플이랑 넷이서 강원도여행 가려고 계획중인데요 영월펜션이 좋은곳이 많다고 들었어요 혹시 스파 되는곳도 있나요? 커플들끼리 가는곳이라 좀 조용하고 아늑한곳이면 더 좋겠네요
대만 일본산,우리나라 식품들도 원재료에 일본산이 의외로 많이사용되는데요.대만도 일본산원료를 많이 사용하나요?
호주-&gt;인천 항공권 구매시 카드 뭐 쓰는게 좋나요?,안녕하세요 제가 스카이스캐너로 티켓을 예매할건데 스카이스캐너에서 통화를 호주로 바꾸고 환율 적용해보니 한국 원화로 설정했을 때보다 더 싸더라구요 그런데 트립닷컴 한국여행사 이용하고 아시아나를 탈거라 조금 헷갈리네요 호주 환율로 적용해서 결제하고 싶으면 통화설정에서 호주로 바꾸고 호주 카드 (커먼웰스)로 결제하면 카드 수수료가 따로 붙나요? 뭐가 더 이득인지 아시는 분 잇으시면 답변좀 부탁드려요^^
일본 도쿄의 홍대는,일본 도쿄의 홍대는
